sourceTaxonId	sourceTaxonName	sourceTaxonPartaffected	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	StudySourceCitation	referenceCitation
EOL:29678	Acorus	http://purl.obolibrary.org/obo/PO_0009005	RO:0002471	eaten by	EOL:1026970	Donacia aequalis							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Marx, E. J. F. 1957. A review of the subgenus Donacia in the Western Hemisphere (Coleoptera, Donaciidae), Bull. Am. Mus. Nat. Hist. 112:191-278.
EOL:29678	Acorus	http://purl.obolibrary.org/obo/PO_0009005	RO:0002471	eaten by	EOL:1026964	Donacia subtilis							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Marx, E. J. F. 1957. A review of the subgenus Donacia in the Western Hemisphere (Coleoptera, Donaciidae), Bull. Am. Mus. Nat. Hist. 112:191-278.
EOL:29678	Acorus	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1026970	Donacia aequalis							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Marx, E. J. F. 1957. A review of the subgenus Donacia in the Western Hemisphere (Coleoptera, Donaciidae), Bull. Am. Mus. Nat. Hist. 112:191-278.
EOL:29678	Acorus	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1026964	Donacia subtilis							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Marx, E. J. F. 1957. A review of the subgenus Donacia in the Western Hemisphere (Coleoptera, Donaciidae), Bull. Am. Mus. Nat. Hist. 112:191-278.
EOL:5749572	Alisma plantago		RO:0002471	eaten by	EOL:721529	Hydrellia mutata							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Hering, E. M. 1957. Bestimmungstabellen der Blattminen von Europa. Vols. 1-3. W. Junk. Gravenhage, Holland.
EOL:1145637	Alnus oblongifolia	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1172561	Altica guatemalensis							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	LeSage, L. 1995. Revision of the costate species of Altica Müller of North America North of Mexico (Coleoptera: Chrysomelidae). Can. Entomol. 127:295-411.
EOL:1145637	Alnus oblongifolia	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by		Rhynchaenus griseus							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Anderson, R. S. 1989. Revision of the subfamily Rhynchaeninae in North America (Coleoptera: Curculionidae). Transactions of the American Entomological Society 115:207-312.
EOL:1145613	Alnus rhombifolia	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1280491	Altica ambiens ambiens							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	LeSage, L. 1995. Revision of the costate species of Altica Müller of North America North of Mexico (Coleoptera: Chrysomelidae). Can. Entomol. 127:295-411.
EOL:1145613	Alnus rhombifolia	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by		Rhynchaenus griseus							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Anderson, R. S. 1989. Revision of the subfamily Rhynchaeninae in North America (Coleoptera: Curculionidae). Transactions of the American Entomological Society 115:207-312.
EOL:1145612	Alnus rubra	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1280491	Altica ambiens ambiens							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	LeSage, L. 1995. Revision of the costate species of Altica Müller of North America North of Mexico (Coleoptera: Chrysomelidae). Can. Entomol. 127:295-411.
EOL:1145612	Alnus rubra	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by		Rhynchaenus griseus							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Anderson, R. S. 1989. Revision of the subfamily Rhynchaeninae in North America (Coleoptera: Curculionidae). Transactions of the American Entomological Society 115:207-312.
